Function,Algorithm,Iteration,ExplorationRatio
CEC22_F1,NWOA,0,0.2
CEC22_F1,NWOA,1,0.2866666666666666
CEC22_F1,NWOA,2,0.29333333333333333
CEC22_F1,NWOA,3,0.38
CEC22_F1,NWOA,4,0.32666666666666666
CEC22_F1,NWOA,5,0.5066666666666667
CEC22_F1,NWOA,6,0.4533333333333333
CEC22_F1,NWOA,7,0.4533333333333333
CEC22_F1,NWOA,8,0.38
CEC22_F1,NWOA,9,0.5066666666666666
CEC22_F1,NWOA,10,0.5666666666666667
CEC22_F1,NWOA,11,0.4133333333333333
CEC22_F1,NWOA,12,0.62
CEC22_F1,NWOA,13,0.4666666666666666
CEC22_F1,NWOA,14,0.3933333333333333
CEC22_F1,NWOA,15,0.35333333333333333
CEC22_F1,NWOA,16,0.4333333333333333
CEC22_F1,NWOA,17,0.5
CEC22_F1,NWOA,18,0.5266666666666666
CEC22_F1,NWOA,19,0.3
CEC22_F1,NWOA,20,0.5533333333333333
CEC22_F1,NWOA,21,0.42666666666666675
CEC22_F1,NWOA,22,0.4333333333333333
CEC22_F1,NWOA,23,0.3333333333333333
CEC22_F1,NWOA,24,0.4533333333333333
CEC22_F1,NWOA,25,0.54
CEC22_F1,NWOA,26,0.3933333333333333
CEC22_F1,NWOA,27,0.44000000000000006
CEC22_F1,NWOA,28,0.6133333333333333
CEC22_F1,NWOA,29,0.7533333333333333
CEC22_F1,NWOA,30,0.45999999999999996
CEC22_F1,NWOA,31,0.38
CEC22_F1,NWOA,32,0.6066666666666667
CEC22_F1,NWOA,33,0.4066666666666666
CEC22_F1,NWOA,34,0.5133333333333334
CEC22_F1,NWOA,35,0.4133333333333333
CEC22_F1,NWOA,36,0.5666666666666667
CEC22_F1,NWOA,37,0.2266666666666667
CEC22_F1,NWOA,38,0.4733333333333333
CEC22_F1,NWOA,39,0.54
CEC22_F1,NWOA,40,0.58
CEC22_F1,NWOA,41,0.5933333333333334
CEC22_F1,NWOA,42,0.4866666666666667
CEC22_F1,NWOA,43,0.5066666666666666
CEC22_F1,NWOA,44,0.44666666666666666
CEC22_F1,NWOA,45,0.52
CEC22_F1,NWOA,46,0.38
CEC22_F1,NWOA,47,0.2666666666666667
CEC22_F1,NWOA,48,0.36666666666666664
CEC22_F1,NWOA,49,0.5399999999999999
